intent_id,intent_title,intent_type,intent_definition,keywords,examples
nonmedical_3,Product NDC/lot #,Non-Medical,Questions regarding locating the lot or NDC number on a product.,Product; lot; number; NDC,What does 'Product' mean in relation to this drug?; What does 'lot' mean in relation to this drug?; What does 'number' mean in relation to this drug?
nonmedical_4,Product storage issues,Non-Medical,Questions regarding concerns about proper storage of product during transportation.,Storage; transport; ship; concern; product,What does 'Storage' mean in relation to this drug?; What does 'transport' mean in relation to this drug?; What does 'ship' mean in relation to this drug?
nonmedical_5,Product availability,Non-Medical,Questions regarding product availability,available; backorder; status; order; shortage,What does 'available' mean in relation to this drug?; What does 'backorder' mean in relation to this drug?; What does 'status' mean in relation to this drug?
nonmedical_6,Ads or promotional campaigns,Non-Medical,Questions related to product commercials or promotional campaigns,Pfizer; First; Connect; advertisement; campaign; commercial; ad,What does 'Pfizer' mean in relation to this drug?; What does 'First' mean in relation to this drug?; What does 'Connect' mean in relation to this drug?
nonmedical_7,Pet's exposure to product,Non-Medical,Questions related to animal's or pets' exposure to a Pfizer product.,Animal; pet; exposed; exposure; product,What does 'Animal' mean in relation to this drug?; What does 'pet' mean in relation to this drug?; What does 'exposed' mean in relation to this drug?
nonmedical_8,"Study coordinator, recruitment status, or actively enrolled patients, clinical trial results, AE reporting, clinical trial details",Non-Medical,"Questions related to clinical trial information, recruitment status, contact information for the Study Coordinator for Pfizer Clinical Trials, enrolled patient with medical information, questions on data or results, AE reporting",clinical; trial; study; coordinator; information; enroll; current; patient; medical; data; results; report; adverse; event; recruit; status; research,What does 'clinical' mean in relation to this drug?; What does 'trial' mean in relation to this drug?; What does 'study' mean in relation to this drug?
nonmedical_9,Product purchase outside of US,Non-Medical,Questions related to purchasing medicine from a different country outside of the United States.,purchase; medicine; different; country; outside; United States; US; international; import; export,What does 'purchase' mean in relation to this drug?; What does 'medicine' mean in relation to this drug?; What does 'different' mean in relation to this drug?
nonmedical_10,"Product payment through assistance/support program, cost, price",Non-Medical,"Questions related to assistance programs, co-pay help, discounted or free medicines available to patients to help pay for medication, how Pfizer prices medicines, price of a medication, personalized support services",help; pay; medicine; patient; assistance; financial; support; co-pay; free; saving; price; cost; product; insurance; medication; program; reimbursement; access; ambassador; resource,What does 'help' mean in relation to this drug?; What does 'pay' mean in relation to this drug?; What does 'medicine' mean in relation to this drug?
nonmedical_11,Other pharmaceutical company contact number,Non-Medical,Questions related to requesting contact information for other pharmaceutical companies.,pharmaceutical; company; directory; other,What does 'pharmaceutical' mean in relation to this drug?; What does 'company' mean in relation to this drug?; What does 'directory' mean in relation to this drug?
nonmedical_12,Product disposal,Non-Medical,Questions related to guidance on disposal of unused medicine.,dispose; unused; throw; discard; sharps,What does 'dispose' mean in relation to this drug?; What does 'unused' mean in relation to this drug?; What does 'throw' mean in relation to this drug?
nonmedical_13,Customer Feedback,Non-Medical,Wants to give feedback or share an idea on product or service,feedback; compliment; suggestion; idea; negative; positive; review; experience; share; opinion; feelings,What does 'feedback' mean in relation to this drug?; What does 'compliment' mean in relation to this drug?; What does 'suggestion' mean in relation to this drug?
